"-- Please Select --","-- Please Select --"
"Add to Cart","Kosárba"
"Choose an Option...","Válassz egy opciót..."
"Configurable Swatches","Configurable Swatches"
"Enabled","Bekpacsolva"
"General Settings","Általános beállítások"
"Height","Súly"
"In Stock","Raktáron"
"Innermost dimensions, not including border, in pixels","Innermost dimensions, not including border, in pixels"
"Out of Stock","Nincs raktáron"
"Previous","Előző"
"Product Attribute to Use for Swatches in Product Listing","Product Attribute to Use for Swatches in Product Listing"
"Product Attributes to Show as Swatches in Product Detail","Product Attributes to Show as Swatches in Product Detail"
"Remove This Item","Termék eltávolítása"
"Swatch Dimensions in Layered Navigation","Swatch Dimensions in Layered Navigation"
"Swatch Dimensions in Product Listing","Swatch Dimensions in Product Listing"
"Swatch Dimensions on Product Detail Page","Swatch Dimensions on Product Detail Page"
"Width","Szélesség"
