"""Remember Me"" Default Value","""Emlékezz rám"" Alapértelmezett érték"
"(Not %s?)","(Nem %s?)"
"* Required Fields","* Kötelező mezők"
"Address","Cím"
"Address Information","Címek"
"Already registered?","Már regisztrált felhasználó?"
"Back","Vissza"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","A regisztrációval gyorsabbá válik a vásárlási folyamat, lehetőség van több szállítási cím tárolására, valamint megtekinteni és nyomon követni a rendeléseket."
"Cannot load configuration from file %s.","Nem sikerült betölteni a %s. fileból a beállítást"
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Az &quot;Emlékezz rám&quot; bejelölőse lehetővé teszi a kosár megtekintését abban az esetben is, ha a felhasználó már kijelentkezett"
"Checkout as Guest","Fizetés vendégként"
"Checkout as a Guest","Fizetés vendégként"
"Checkout as a Guest or Register","Fizetés vendégként vagy regisztrációval"
"City","Város"
"Clear Persistence on Log Out","Adatok törlése kilépés után"
"Close","Bezárás"
"Company","Cég"
"Confirm Password","Jelszó megerősítésse"
"Continue","Folytatás"
"Country","Ország"
"Create an Account","Fiók létrehozása"
"Easy access to your order history and status","Könnyű hozzáférhetőség a rendelési előzményekhez és a rendelés állapotához"
"Email Address","Email-cím"
"Enable ""Remember Me""","""Emlékezz rám"" bekapcsolása"
"Enable Persistence","Adatok megtartásának bekapcsolása"
"Fast and easy check out","Gyors és könnyű fizetés"
"Faster checkout","Gyorsabb fizetés"
"Fax","Fax"
"Forgot Your Password?","Elfelejtette a jelszavát?"
"Forgot your password?","Elfelejtette a jelszavát?"
"General Options","Általános opciók"
"If you have an account with us, please log in.","Ha regisztrált felhasználó, kérem, lépjen be."
"Loading next step...","Következő lépés betöltése..."
"Login","Belépés"
"Login Information","Belépési információk"
"Login or Create an Account","Belépés vagy fiók létrehozása"
"New Customers","Új vásárlók"
"New Here?","Új felhasználó?"
"Password","Jelszó"
"Persist Shopping Cart","Kosár adatainak megtartása"
"Persistence Lifetime (seconds)","Adatok megőrzésének időtartama (mp)"
"Persistent Shopping Cart","Tartós kosár"
"Personal Information","Személyes információk"
"Please enter the following information to create your account.","Kérem, adja meg fiókjának létrehozásához szükséges információkat."
"Please log in below:","Kérem, lépjen be:"
"Please select region, state or province","Kérem, válasszon régiót, államot vagy tartományt"
"Register","Regisztráció"
"Register and Checkout","Regisztráció és fizetés"
"Register and save time!","Spóroljon időt regisztrációval!"
"Register to Create an Account","Regisztráljon fiók létrehozásához"
"Register with us for future convenience:","Regisztráljon a kényelmesebb használathoz:"
"Registered Customers","Regisztrált felhasználók"
"Registration is free and easy!","A regisztráció ingyenes és könnyű!"
"Remember Me","Emlékezz rám"
"Returning Customers","Visszatérő vásárlók"
"Save in address book","Mentés a címtárba"
"Save multiple shipping addresses","Több szállítási cím mentése"
"Select State/Province...","Válassza ki az államot/tartományt..."
"Select a billing address from your address book or enter a new address.","Válasszon ki egy számlázási címet a címtárból vagy adjon meg újat."
"Ship to different address","Szállítás másik címre"
"Ship to this address","Szállítás erre a címre"
"Shopping cart has been updated with appropriate prices","A kosárban frissültek az árak"
"Sign Up for Newsletter","Feliratkozás hírlevélre"
"Sign in to speed up your checkout process","Jelentkezzen be, hogy gyorsabb legyen a fizetés folyamata"
"State/Province","Állam/Tartomány"
"Street Address","Cím (út/utca)"
"Street Address %s","Cím %s"
"Submit","Elküldés"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","A fizetéshez lépjen be email-címével"
"VAT Number","VAT szám"
"View and track orders and more","Megrendelések megtekintése és nyomon követése"
"Welcome, %s!","Üdv, %s!"
"What's this?","Mi ez?"
"What\'s this?","Mi ez?"
"Zip/Postal Code","Irányítószám"
