"%d Review(s)","%d értékelés"
"%s Review(s)","%s értékelés"
"(Posted on %s)","(Beküldve: %s)"
"1 star","1 csillag"
"2 stars","2 csillag"
"3 stars","3 csillag"
"4 stars","4 csillag"
"5 stars","5 csillag"
"Add New Review","Új értékelés"
"Add Your Review","Értékeld a terméket"
"Administrator","Adminisztrátor"
"All Reviews","Összes értékelés"
"All reviews of customer `%s`","A vásárló összes értékelése: `%s`"
"Allow guests to write reviews","Értékelés írása vendégeknek is engedélyezve"
"Are you sure you want to do this?","Biztos benne hogy ezt akarja?"
"Are you sure?","Biztos benne?"
"Average Customer Rating","Átlagos vevői értékelés"
"Average Customer Rating:","Átlagos vevői értékelés:"
"Back","Vissza"
"Back to Main Product Info","Vissza a termék adatlaphoz"
"Back to My Reviews","Vissza az értékeléseimhez"
"Back to Product Reviews","Vissza az értékelésekhez"
"Be the first to review this product","Legyél Te az első aki értékeli ezt a terméket"
"Created On","Beküldve"
"Customer","Vásárló"
"Customer Reviews","Vásárló értékelései"
"Delete","Törlés"
"Delete Review","Értékelés törlése"
"Detailed Rating","Részletes értékelés"
"Edit Review '%s'","Értékelés szerkesztése '%s'"
"Guest","Vendég"
"How do you rate this product?","Hogyan értékelnéd ezt a terméket?"
"ID","ID"
"Manage Ratings","Értékelések kezelése"
"My Product Reviews","Értékeléseim"
"My Recent Reviews","Legfrissebb értékeléseim"
"Name","Név"
"Name In Store","Név a boltban"
"New Review","Új értékelés"
"Nickname","Név"
"Pending Reviews","Függő értékelések"
"Pending reviews","Függő értékelések"
"Pending reviews of customer `%s`","Függő értékelések `%s`"
"Please select a product","Válasszon ki egy terméket"
"Please select one of each of the ratings above","Kérlek, válassz egyet az értékelések közül."
"Posted By","Beküldte"
"Price","Ár"
"Product","Termék"
"Product Name","Termék neve"
"Product Rating","Termék értékelése"
"Product Rating:","Termék értékelése:"
"Product Review (submitted on %s):","Értékelés (beküldve %s):"
"Product Reviews","Értékelések"
"Product SKU","Termék CSZ"
"Qty","Menny"
"Rating:","Értékelés:"
"Review","Értékelés"
"Review Details","Értékelés részletei"
"Review by %s","Értékelte: %s"
"Review by <span>%s</span>","Értékelte: <span>%s</span>"
"Reviews and Ratings","Vélemények és értékelések"
"SKU","CSZ"
"Save Review","Értékelés mentése"
"Status","Állapot"
"Submit Review","Értékelés elküldése"
"Summary Rating","Összesítő értékelés"
"Summary of Review","Röviden értékelve"
"Summary of Your Review","Értékelésed röviden"
"Summary of review","Röviden értékelve"
"Title","Cím"
"Type","Típus"
"Unable to post review. Please, try again later.","Sikertelen értékelés. Próbálja meg később."
"Update status","Állapot frissítése"
"View All Reviews","Összes értékelés megtekintése"
"View Details","Részletek"
"Visible In","Láthatóság"
"Websites","Weboldalak"
"Write Your Own Review","Értékeld a terméket"
"You have submitted no reviews.","Még nem értékeltél egy terméket sem."
"You're reviewing: %s","Épp értékeled: %s"
"You're reviewing:","Épp értékeled:"
"Your Rating:","Értékeled:"
"Your Review (submitted on %s):","Értékelésed (beküldve %s):"
"Your review has been accepted for moderation.","Értékelésed elfogadva, jelenleg moderációra vár."
"OR","OR"
"My Product Reviews","Saját értékeléseim"
