"Choose a product","Válasszon egy terméket"
"Decorate your product","Dekoráld ki a terméket"
"Place order","Place order"
"1: Choose a product","1: Válassz egy terméket"
"2: Choose a color","2: Válassz egy színt"
"3: Choose size & amount","3: Válassz egy méretet és mennyiséget"
"Size:","Méret:"
"Processing your order...","Rendelés feldolgozása..."
"Loading...","Betöltés..."
"Preview","Előnézet"
"Your selection","Összeállításod"
"Subtotal","Végösszeg"
"Change design","Kinézet módosítása"
"In Cart","Kosárban"
"Text","Szöveg"
"Place text","Szöveg helye"
"Use our online designer","Egyedi design készítése"
"1: Your decorations","1: A dekorációd"
"2: Design","2: Design"
"Library","Könyvtár"
"Upload image","Képfeltöltés"
"Your text","Szöveg"
"Price:","Ár:"
"incl. VAT","Bruttó"
"Decorate","Dekorál"
"Please select a size before decorating","A dekoráció megkezdése előtt kérem válasszon egy méretet"
"Loading image...","Kép betöltése..."
"Change side","Oldal váltás"
"excl. VAT","Nettó"
"Uw huidige ontwerp zal verloren gaan als u een nieuw product kiest, wilt u doorgaan?","Your current design will be lost if you choose a new product, are you sure you want to continue?"
"Printing type...","Nyomtatás típusa..."
"Preview order","Előnézet"
"Product:","Termék:"
"You need to accept our copyright statement.","El kell fogadnod a szerzői jogokat."
"Upload your image","Kép feltöltése"
"Uploading image...","Kép feltöltése..."
"For some, in particular commercial images or logo's, a license is required to use them for designing your product. When you upload an image this means that we trust you have the required licenses for this. If we are being approached by the legal licensee we will directly refer to you.",""
"I understand and accept the Copyright statement.","Megértettem és elfogadom."
"Uploading your image may take some time.","A képfeltöltés eltarthat egy darabig."
"Please wait for this process to finish.","Várd meg amíg a folyamat a végére ér!"
"Change product","Termék váltás"
"Design online","Készíts egyedi terméket, tölts fel képet, szöveget, tedd egyedivé"
"Click here to edit","Kattints ide a szerkesztéshez"
"Delete item","Törlés"
"Product","Termék"
"Color","Szín"
"Sizes","Méretek"
"Printing Quality","Nyomtatás minősége"
"Preview","Előnézet"
"Edit & Order","Szerkesztés és rendelés"
"Delete item","Törlés"
"Mouseover to see design","Húzd az egeret fölé a megtekintéshez"
"Overview","Áttekintés"
"My saved designs","Saját minták"
"Your text:","Saját szöveg"
"Font","Betűtípus"
"Color:","Szín:"
"Choose a product","Válassz egy terméket"
"Choose a design","Válassz egy designt"
"Edit your design","Design szerkesztése"
"Order product","Termék"
"Choose product color","Válassz színt"
"Choose product size","Válassz méretet"
"Next step","Következő lépés"
"Choose a template or start from scratch","Válassz egy előre elkészített mintát, vagy kezd az elején"
"Start from scratch","Kezdés előről"
"Previous step","Előző lépés"
"Add image","Kép hozzáadása"
"Add text","Szöveg hozzáadása"
"Clear design","Design törlése"
"Your JPG/JPEG/GIF/PNG image","Csak JPG/JPEG/GIF/PNG kép tölthető fel."
"Your uploads","Feltöltéseid"
"Your Instagram images","Instagram képeid"
"Add your text","Saját szöveg hozzáadása"
"Sample text","Minta szöveg"
"Choose a font","Válassz egy betűtípust"
"Product Designer options","Termék designer lehetőségei"
"Zoom in","Nagyítás"
"Zoom out","Kicsinyítés"
"Object options","Lehetőségek"
"Rotate","Forgatás"
"Delete","Töröl"
"To Front","Előre"
"To Back","Vissza"
"Align","Igazítás"
"Align left","Balra"
"Align center","Középre"
"Align right","Jobbra"
"Mirror:","Tükrözés"
"'Mirror horizontal","Tükrözés horizontálisan"
"Mirror vertical","Tükrözés vertikálisan"
"Image color","Kép színe"
"Please wait..","Várjon.."
"Contour","Kontúr"
"Contour thickness","Kontúr vastagsága"
"Contour color","Kontúr színe"
"Object width","Elem szélessége"
"Object height","Elem magassága"
"Text options","Szöveg opciók"
"Font style","Betű stílusa"
"Text align","Szöveg igazítása"
"Opacity","Átlátszóság"
"Text spacing","Szöveg ttávolság"
"Text contour","Szöveg kontúr"
"Arc","Ív"
"Save as a template for this product","Minta elmentése a termék számára"
"Product price:","Termék ára"
"Color surcharge:","Szín felára"
"Size surcharge:","Méret felára"
"Tier pricing:","Sor felára"
"Save my design","Design mentése"
"Remove background image","Háttérkép törlése"
"Remove frame image","Képkocka eltávolítása"
"Product info","Termék információ"
"Product options","Termék részletek"
"Add to cart","Kosárba"
"Save my design","Design mentése"
"This is a required option","Ez egy kötelező mező"
"Field is not complete","Kérem adjon meg érvényes adatot"
"Change","Módosít"
"Delete","Töröl"
"Allowed file extensions to upload","Feltölthető fájl típusok"
"Maximum image width","Maximális kép szélesség"
"Maximum image height","Maximális kép magasság"
"Maximum number of characters:","Megadható karakterek maximális száma:"
"Choose an Option...","Válassz egy lehetőséget..."
"Your image","Képeid"
"Upload your image","Tölts fel saját képet"
"Load images from Instagram","Kép betöltése Instagrammról"
"My uploaded images","Feltöltött képeim"
"-- Please select --","-- Kérem válasszon --"
"Printing quality:","Nyomtatás minősége"
"Error:","Hiba:"
"Upload: ","Feltöltött fájl: "
"Type: ","Típus: "
"Size: ","Méret: "
"Stored in: ","Tárolás helye: "
"Printing quality:","Nyomtatás minősége"
"Library images","Termék alapképek"
"Background images","Háttérképek"
"Background images","Háttérkép törlése"
"Frames","Rétegek"
"Remove frame image","Réteg törlése"

